	(1)	(2)	(3)	(4)	(5)
VARIABLES	ATE	POmean	OME0	OME1	TME1
					
2.OWN			-0.0105	-0.0210	2.070***
			(0.0134)	(0.0245)	(0.115)
3.OWN			-0.00372	-0.0204	2.858***
			(0.0133)	(0.0245)	(0.116)
4.OWN			-0.00586	-0.0268	2.415***
			(0.0136)	(0.0245)	(0.116)
1.PORT			-0.00924	0.0207**	0.0926*
			(0.00817)	(0.00931)	(0.0497)
logwages2015			0.000237	-0.000243	-0.0534***
			(0.000910)	(0.00114)	(0.00633)
TFP2015			0.997***	1.001***	-0.148***
			(0.00171)	(0.00220)	(0.0118)
logemp2015			3.78e-05	-0.00156	0.196***
			(0.00116)	(0.00158)	(0.00834)
DEBTS2015			0.00846	-0.0323**	-0.282***
			(0.0120)	(0.0149)	(0.0815)
EXP2015			-0.0687	-0.0950	17.89***
			(0.0580)	(0.0660)	(0.387)
RD2015			-0.0122	0.0136	0.195***
			(0.0109)	(0.0129)	(0.0711)
r1vs0.FDI2016	0.301***				
	(0.00843)				
0.FDI2016		3.542***			
		(0.0198)			
Constant			0.521***	0.846***	-5.718***
			(0.0191)	(0.0320)	(0.160)
					
Observations	11,323	11,323	11,323	11,323	11,323
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
