	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	min	max
					
firm	11,323	6,181	3,559	1	12,333
FDI2016	11,323	0.394	0.489	0	1
FDITYPE2016	11,323	0.878	1.193	0	3
OWN	11,323	2.889	0.907	1	4
TECH	11,323	2.279	1.131	1	4
PORT	11,323	0.349	0.477	0	1
logwages2015	11,323	7.333	3.839	-7.332	22.43
wages15	11,323	1.967e+06	5.990e+07	0.000654	5.519e+09
TFP2015	11,323	3.041	2.047	-5.359	11.36
logemp2015	11,323	4.411	3.040	-6.229	15.99
emp15	11,323	7,111	117,155	0.00197	8.824e+06
DEBTS2015	11,323	0.504	0.353	-0.200	1.300
debts15	11,323	1.762	0.634	0.819	3.668
EXP2015	11,323	0.159	0.0798	0.0103	0.483
RD2015	11,323	0.121	0.326	0	1
logwages2017	11,323	5.010	3.083	-6.185	17.04
TFP2017	11,323	3.656	2.056	-4.701	11.81
TFPS17	11,323	1.64e-07	1.000	-4.064	3.966
logemp2017	11,323	5.030	3.095	-6.218	16.39
emp17	11,323	13,185	185,558	0.00199	1.310e+07
EXP2017	11,323	0.270	0.108	0.0188	0.950
RD2017	11,323	0.407	0.491	0	1
					
