	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
	N	NN	IPW	IPWATET	AIWP	N	NN	IPW	IPWATET	AIWP
VARIABLES	TFP2017	TFP2017	TFP2017	TFP2017	TFP2017	TFP2017	TFP2017	TFP2017	TFP2017	TFP2017
										
r1vs0.FDI2016	0.318***	0.279***	0.285***	0.308***	0.309***	0.318***	0.279***	0.285***	0.308***	0.309***
	(0.045)	(0.033)	(0.029)	(0.045)	(0.010)	(0.0454)	(0.0325)	(0.0289)	(0.0449)	(0.00958)
0.FDI2016			3.537***	3.307***	3.446***			3.537***	3.307***	3.446***
			(0.026)	(0.053)	(0.022)			(0.0263)	(0.0535)	(0.0217)
logemp2015			0.196***	0.196***	0.000					
			(0.008)	(0.008)	(0.001)					
logwages2015			-0.053***	-0.053***	-0.000					
			(0.006)	(0.006)	(0.001)					
TFP2015			-0.148***	-0.148***	0.998***					
			(0.012)	(0.012)	(0.002)					
EXP2015			17.895***	17.895***	-0.081					
			(0.387)	(0.387)	(0.090)					
1.PORT					-0.011					
					(0.012)					
2.OWN			2.070***	2.070***	-0.019					
			(0.115)	(0.115)	(0.021)					
3.OWN			2.858***	2.858***	-0.015					
			(0.116)	(0.116)	(0.020)					
4.OWN			2.415***	2.415***	-0.003					
			(0.116)	(0.116)	(0.020)					
2.TECH					-0.003					-2.091***
					(0.013)					(0.0134)
3.TECH					-0.005					-4.929***
					(0.012)					(0.0124)
logemp2015			0.196***	0.196***	-0.002					
			(0.008)	(0.008)	(0.002)					
logwages2015			-0.053***	-0.053***	-0.000					
			(0.006)	(0.006)	(0.001)					
TFP2015			-0.148***	-0.148***	1.002***					
			(0.012)	(0.012)	(0.002)					
EXP2015			17.895***	17.895***	-0.107					
			(0.387)	(0.387)	(0.093)					
1.PORT					0.021					
					(0.013)					
2.OWN			2.070***	2.070***	-0.021					
			(0.115)	(0.115)	(0.029)					
3.OWN			2.858***	2.858***	-0.017					
			(0.116)	(0.116)	(0.029)					
4.OWN			2.415***	2.415***	-0.036					
			(0.116)	(0.116)	(0.028)					
2.TECH					-0.011					-0.00340
					(0.014)					(0.0137)
3.TECH					0.016					-0.00516
					(0.015)					(0.111)
logemp2015			0.196***	0.196***	0.168***					
			(0.008)	(0.008)	(0.011)					
logwages2015			-0.053***	-0.053***	0.000					
			(0.006)	(0.006)	(0.009)					
TFP2015			-0.148***	-0.148***	-0.079***					
			(0.012)	(0.012)	(0.017)					
EXP2015			17.895***	17.895***	46.069***					
			(0.387)	(0.387)	(0.770)					
1.PORT					-2.975***					
					(0.089)					
2.OWN			2.070***	2.070***	1.910***					
			(0.115)	(0.115)	(0.182)					
3.OWN			2.858***	2.858***	3.543***					
			(0.116)	(0.116)	(0.182)					
4.OWN			2.415***	2.415***	2.125***					
			(0.116)	(0.116)	(0.180)					
2.TECH					-2.091***					-0.0115
					(0.103)					(0.103)
3.TECH					-4.929***					0.0155
					(0.111)					(0.0149)
PORT			0.093*	0.093*				0.0926*	0.0926*	
			(0.050)	(0.050)				(0.0497)	(0.0497)	
DEBTS2015			-0.282***	-0.282***						
			(0.082)	(0.082)						
RD2015			0.195***	0.195***						
			(0.071)	(0.071)						
Constant			-5.718***	-5.718***	0.532***					
			(0.160)	(0.160)	(0.025)					
Constant			-5.718***	-5.718***	0.834***					
			(0.160)	(0.160)	(0.035)					
Constant			-5.718***	-5.718***	-7.057***					
			(0.160)	(0.160)	(0.233)					
										
Observations	11,317	11,317	11,323	11,323	9,418	11,317	11,317	11,323	11,323	9,418
Standard errors in parentheses										
*** p<0.01, ** p<0.05, * p<0.1										
